kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
naive,512,512,3,0,0,0,0,20,2.2825,2.067,524265465,107232372,410276,0.7826
reorder,512,512,3,0,0,0,0,20,1.9897,2.372,374985053,101361869,5880091,15.6809
unroll,512,512,3,0,0,0,0,20,1.6422,2.873,199019314,101342540,5362401,26.9441
naive,1024,1024,3,0,0,0,0,20,7.8732,2.397,2086254804,426219729,1586601,0.7605
reorder,1024,1024,3,0,0,0,0,20,7.9609,2.371,1488275749,403056136,20926475,14.0609
unroll,1024,1024,3,0,0,0,0,20,7.3700,2.561,784223259,402935671,20837748,26.5712
naive,2048,2048,3,0,0,0,0,20,31.5003,2.397,8334577991,1702219106,7265081,0.8717
reorder,2048,2048,3,0,0,0,0,20,43.7181,1.727,5939733483,1609969127,41710552,7.0223
unroll,2048,2048,3,0,0,0,0,20,43.4673,1.737,3125331924,1609945870,38875793,12.4389
naive,512,512,5,0,0,0,0,20,5.1879,2.527,1159212202,291930023,444065,0.3831
reorder,512,512,5,0,0,0,0,20,4.9943,2.624,1023477525,286060708,16955684,16.5667
unroll,512,512,5,0,0,0,0,20,4.5397,2.887,524516880,286032246,16260083,31.0001
naive,1024,1024,5,0,0,0,0,20,23.7076,2.211,4627215365,1165271433,1812103,0.3916
reorder,1024,1024,5,0,0,0,0,20,21.8926,2.395,4078567904,1141925711,60897432,14.9311
unroll,1024,1024,5,0,0,0,0,20,20.7126,2.531,2082875928,1141854673,60253707,28.9281
naive,2048,2048,5,0,0,0,0,20,81.6864,2.567,18496462629,4657984611,18097299,0.9784
reorder,2048,2048,5,0,0,0,0,20,123.3631,1.700,16300498168,4567296900,120171434,7.3723
unroll,2048,2048,5,0,0,0,0,20,124.0496,1.691,8319041986,4567367864,111716434,13.4290
