kernel,TH,TW,instructions,l1_misses,l2_misses,llc_misses
naive,0,0,8334671329,7499850,13451231,266194
reorder,0,0,5943857025,35703672,106669879,55634284
unroll,0,0,3125591343,40985587,106408865,48307752
tile,16,16,3990668789,89082717,13433313,340922
tile,32,32,3529059557,92039277,13667277,844757
tile,64,64,3316927656,86945089,14521480,2027324
tile,128,128,3215996986,87361056,17867845,2498117
tile,256,256,3166315452,88915754,57551023,3288958
tile,512,512,3142617618,85891539,112906336,5332681
simd,0,0,917710453,33037627,106090340,69266735
optimized,0,0,850102053,72031052,14085045,4037107
