kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
naive,512,512,3,0,0,0,0,20,2.2825,2.067,524265465,107232372,410276,0.7826
tile,512,512,3,16,16,0,0,20,1.1739,4.020,252506276,103193724,574346,2.2746
tile,512,512,3,32,32,0,0,20,2.0483,2.304,223716491,101826731,4426150,19.7846
tile,512,512,3,64,64,0,0,20,1.5191,3.106,210338397,101448467,4659107,22.1505
tile,512,512,3,128,128,0,0,20,1.5793,2.988,203988571,101358243,5072584,24.8670
tile,512,512,3,256,256,0,0,20,1.6312,2.893,200920676,101342729,5958032,29.6537
tile,512,512,3,512,512,0,0,20,1.5783,2.990,199385264,101334980,5688490,28.5301
naive,1024,1024,3,0,0,0,0,20,7.8732,2.397,2086254804,426219729,1586601,0.7605
tile,1024,1024,3,16,16,0,0,20,6.6975,2.818,1000272381,410303495,22137424,22.1314
tile,1024,1024,3,32,32,0,0,20,6.3210,2.986,884582179,404706807,22891355,25.8782
tile,1024,1024,3,64,64,0,0,20,6.5836,2.867,831722681,403367834,21004476,25.2542
tile,1024,1024,3,128,128,0,0,20,6.7544,2.794,806600871,403067908,21802634,27.0303
tile,1024,1024,3,256,256,0,0,20,6.8895,2.740,794025228,402927270,22638631,28.5112
tile,1024,1024,3,512,512,0,0,20,6.8264,2.765,787858072,402894367,22011849,27.9389
naive,2048,2048,3,0,0,0,0,20,31.5003,2.397,8334577991,1702219106,7265081,0.8717
tile,2048,2048,3,16,16,0,0,20,26.6566,2.832,3991188572,1638800204,88829270,22.2563
tile,2048,2048,3,32,32,0,0,20,26.7533,2.822,3529094588,1616554379,91267747,25.8615
tile,2048,2048,3,64,64,0,0,20,28.3938,2.659,3316938512,1610986286,86678663,26.1321
tile,2048,2048,3,128,128,0,0,20,28.5634,2.643,3215691567,1609624908,86882113,27.0182
tile,2048,2048,3,256,256,0,0,20,29.2041,2.585,3166474009,1609336807,88924196,28.0830
tile,2048,2048,3,512,512,0,0,20,30.1115,2.507,3142226340,1609305868,85564560,27.2306
naive,512,512,5,0,0,0,0,20,5.1879,2.527,1159212202,291930023,444065,0.3831
tile,512,512,5,16,16,0,0,20,3.2802,3.996,670978188,290232526,600274,0.8946
tile,512,512,5,32,32,0,0,20,3.8382,3.415,592448134,287067676,5991569,10.1132
tile,512,512,5,64,64,0,0,20,3.9399,3.327,555964983,286277412,6529331,11.7441
tile,512,512,5,128,128,0,0,20,4.3528,3.011,538488502,286096544,14379958,26.7043
tile,512,512,5,256,256,0,0,20,4.6633,2.811,530077368,286095989,17702583,33.3962
tile,512,512,5,512,512,0,0,20,4.5304,2.893,525798777,286075259,16730924,31.8200
naive,1024,1024,5,0,0,0,0,20,23.7076,2.211,4627215365,1165271433,1812103,0.3916
tile,1024,1024,5,16,16,0,0,20,18.3719,2.854,2675218338,1158733025,30691727,11.4726
tile,1024,1024,5,32,32,0,0,20,16.7702,3.126,2360450523,1145915235,37719733,15.9799
tile,1024,1024,5,64,64,0,0,20,18.2498,2.873,2214635292,1142771800,61328441,27.6923
tile,1024,1024,5,128,128,0,0,20,18.4987,2.834,2144736019,1142055315,63438861,29.5789
tile,1024,1024,5,256,256,0,0,20,19.0734,2.749,2110301154,1141850966,66347380,31.4398
tile,1024,1024,5,512,512,0,0,20,19.6038,2.674,2093297294,1141810384,63375474,30.2754
naive,2048,2048,5,0,0,0,0,20,81.6864,2.567,18496462629,4657984611,18097299,0.9784
tile,2048,2048,5,16,16,0,0,20,70.1730,2.989,10688512348,4631846888,122813822,11.4903
tile,2048,2048,5,32,32,0,0,20,65.8145,3.186,9431285941,4581000196,133861379,14.1933
tile,2048,2048,5,64,64,0,0,20,73.0783,2.870,8848566323,4568578167,253948854,28.6994
tile,2048,2048,5,128,128,0,0,20,73.2947,2.861,8567189849,4565271015,264551916,30.8797
tile,2048,2048,5,256,256,0,0,20,74.9179,2.799,8430040913,4564581784,265460254,31.4898
tile,2048,2048,5,512,512,0,0,20,76.9856,2.724,8363205632,4564698070,255822799,30.5891
