kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
naive,512,512,3,0,0,0,0,20,2.2825,2.067,524265465,107232372,410276,0.7826
simd,512,512,3,0,0,0,0,20,0.7152,6.597,60892065,15497391,2350462,38.6005
simd128,512,512,3,0,0,0,0,20,0.8348,5.652,99188111,27771906,1539798,15.5240
simd256,512,512,3,0,0,0,0,20,0.8463,5.575,60966986,15515643,2472935,40.5619
naive,1024,1024,3,0,0,0,0,20,7.8732,2.397,2086254804,426219729,1586601,0.7605
simd,1024,1024,3,0,0,0,0,20,3.9452,4.784,232250132,59589045,9281255,39.9623
simd128,1024,1024,3,0,0,0,0,20,3.5614,5.300,385053032,108597234,5593302,14.5261
simd256,1024,1024,3,0,0,0,0,20,4.6973,4.018,232456666,59641110,9991752,42.9833
naive,2048,2048,3,0,0,0,0,20,31.5003,2.397,8334577991,1702219106,7265081,0.8717
simd,2048,2048,3,0,0,0,0,20,25.5263,2.958,917949913,236497850,33214886,36.1838
simd128,2048,2048,3,0,0,0,0,20,28.9949,2.604,1530469152,432853049,11955605,7.8117
simd256,2048,2048,3,0,0,0,0,20,25.8865,2.916,917930657,236481991,32997876,35.9481
naive,512,512,5,0,0,0,0,20,5.1879,2.527,1159212202,291930023,444065,0.3831
simd,512,512,5,0,0,0,0,20,1.7415,7.526,131961321,38628219,6831204,51.7667
simd128,512,512,5,0,0,0,0,20,1.8741,6.994,239440049,73964859,4152993,17.3446
simd256,512,512,5,0,0,0,0,20,1.7333,7.562,132009640,38639930,7294359,55.2563
naive,1024,1024,5,0,0,0,0,20,23.7076,2.211,4627215365,1165271433,1812103,0.3916
simd,1024,1024,5,0,0,0,0,20,10.6111,4.941,513878265,152278313,27444201,53.4060
simd128,1024,1024,5,0,0,0,0,20,10.7120,4.894,943869036,293644076,18344884,19.4358
simd256,1024,1024,5,0,0,0,0,20,9.9418,5.274,513533280,152183755,27323575,53.2070
naive,2048,2048,5,0,0,0,0,20,81.6864,2.567,18496462629,4657984611,18097299,0.9784
simd,2048,2048,5,0,0,0,0,20,72.3424,2.899,2042184349,608240479,96999852,47.4981
simd128,2048,2048,5,0,0,0,0,20,83.8689,2.501,3762647186,1173875514,32724937,8.6973
simd256,2048,2048,5,0,0,0,0,20,73.0738,2.870,2041599489,608122303,94954400,46.5098
