kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,512,512,3,16,16,0,1,20,2.1860,2.159,513551912,117122774,568012,1.1060
combo,512,512,3,32,32,0,1,20,1.9784,2.385,451192415,108623161,3727434,8.2613
combo,512,512,3,64,64,0,1,20,2.2846,2.065,421499382,104853663,6731072,15.9694
combo,512,512,3,128,128,0,1,20,1.9589,2.409,406917766,103062763,6401481,15.7316
combo,512,512,3,256,256,0,1,20,1.9555,2.413,399720917,102196971,6235798,15.6004
combo,512,512,3,512,512,0,1,20,1.8131,2.602,396130858,101768468,5896302,14.8847
combo,512,512,3,0,0,0,1,20,1.8501,2.550,396141707,101771892,5883197,14.8512
combo,512,512,3,16,16,0,2,20,1.9489,2.421,481036344,117104490,562663,1.1697
combo,512,512,3,32,32,0,2,20,1.9489,2.421,418793162,108634207,3738684,8.9273
combo,512,512,3,64,64,0,2,20,1.9400,2.432,389004118,104840004,5686231,14.6174
combo,512,512,3,128,128,0,2,20,1.9765,2.387,374492810,103066104,6295663,16.8112
combo,512,512,3,256,256,0,2,20,1.9860,2.376,367431562,102235829,6229425,16.9540
combo,512,512,3,512,512,0,2,20,1.8327,2.575,363694339,101770363,5888550,16.1909
combo,512,512,3,0,0,0,2,20,1.8266,2.583,363667110,101763625,5888928,16.1932
combo,512,512,3,16,16,128,1,20,1.0459,4.511,272503948,43525012,609130,2.2353
combo,512,512,3,32,32,128,1,20,0.7749,6.089,203689101,35032923,3817703,18.7428
combo,512,512,3,64,64,128,1,20,0.7762,6.079,170668605,31243369,6209287,36.3821
combo,512,512,3,128,128,128,1,20,0.8264,5.710,154520718,29466226,6124290,39.6341
combo,512,512,3,256,256,128,1,20,0.7530,6.266,146518807,28602216,5653660,38.5866
combo,512,512,3,512,512,128,1,20,0.7682,6.142,142551597,28179724,1249494,8.7652
combo,512,512,3,0,0,128,1,20,0.7322,6.445,142562639,28182402,1572105,11.0275
combo,512,512,3,16,16,128,2,20,1.2707,3.713,258137032,43537283,627945,2.4326
combo,512,512,3,32,32,128,2,20,0.6696,7.047,179489509,35020609,3839389,21.3906
combo,512,512,3,64,64,128,2,20,0.5427,8.694,141596918,31229998,5821234,41.1113
combo,512,512,3,128,128,128,2,20,0.5580,8.456,123013158,29451030,5529715,44.9522
combo,512,512,3,256,256,128,2,20,0.5432,8.687,113790105,28586236,5668786,49.8179
combo,512,512,3,512,512,128,2,20,0.7360,6.411,109229001,28168198,1583401,14.4962
combo,512,512,3,0,0,128,2,20,0.6509,7.249,109278542,28184738,1627258,14.8909
combo,512,512,3,16,16,256,1,20,0.9163,5.150,209797191,31271511,552141,2.6318
combo,512,512,3,32,32,256,1,20,0.6504,7.255,146014800,22777824,3312753,22.6878
combo,512,512,3,64,64,256,1,20,0.4661,10.123,115434973,18966898,6100427,52.8473
combo,512,512,3,128,128,256,1,20,0.4676,10.092,100542954,17188299,5299404,52.7079
combo,512,512,3,256,256,256,1,20,0.4405,10.712,93106113,16308312,5020557,53.9230
combo,512,512,3,512,512,256,1,20,0.6359,7.420,89567931,15914110,2455141,27.4109
combo,512,512,3,0,0,256,1,20,0.6595,7.155,89566120,15913432,2375598,26.5234
combo,512,512,3,16,16,256,2,20,0.8393,5.622,209698919,31248019,577262,2.7528
combo,512,512,3,32,32,256,2,20,0.8426,5.600,134653340,22775540,2583322,19.1850
combo,512,512,3,64,64,256,2,20,0.4699,10.043,98426569,18972425,5174519,52.5724
combo,512,512,3,128,128,256,2,20,0.4348,10.853,80658056,17184301,4914516,60.9303
combo,512,512,3,256,256,256,2,20,0.4517,10.447,71829441,16311901,4639897,64.5960
combo,512,512,3,512,512,256,2,20,0.6469,7.294,67574723,15915037,2374318,35.1362
combo,512,512,3,0,0,256,2,20,0.6639,7.107,67582222,15917962,2298966,34.0173
combo,1024,1024,3,16,16,0,1,20,9.1258,2.068,2044374966,466009616,25512284,12.4793
combo,1024,1024,3,32,32,0,1,20,8.4940,2.222,1795260888,432089537,27376263,15.2492
combo,1024,1024,3,64,64,0,1,20,9.1124,2.071,1676230589,416946587,27738683,16.5483
combo,1024,1024,3,128,128,0,1,20,8.2136,2.298,1618335757,409890314,25499586,15.7567
combo,1024,1024,3,256,256,0,1,20,8.0371,2.348,1589501674,406416125,23031209,14.4896
combo,1024,1024,3,512,512,0,1,20,7.6724,2.460,1574813542,404620017,22170602,14.0782
combo,1024,1024,3,0,0,0,1,20,7.6991,2.452,1567660992,403769212,21532962,13.7357
combo,1024,1024,3,16,16,0,2,20,9.2894,2.032,1914623141,466012513,25435340,13.2848
combo,1024,1024,3,32,32,0,2,20,8.0944,2.332,1665278736,432034370,26680035,16.0214
combo,1024,1024,3,64,64,0,2,20,7.9369,2.378,1546405098,416937127,23761297,15.3655
combo,1024,1024,3,128,128,0,2,20,7.9194,2.383,1488033887,409755478,24958531,16.7728
combo,1024,1024,3,256,256,0,2,20,7.9024,2.388,1459515370,406360107,23089662,15.8201
combo,1024,1024,3,512,512,0,2,20,7.5594,2.497,1445150722,404642853,22402401,15.5018
combo,1024,1024,3,0,0,0,2,20,7.7696,2.429,1438064170,403809480,21299108,14.8110
combo,1024,1024,3,16,16,128,1,20,4.5854,4.116,1080319491,171650333,23314317,21.5809
combo,1024,1024,3,32,32,128,1,20,3.5877,5.261,805363561,137761407,27861188,34.5945
combo,1024,1024,3,64,64,128,1,20,2.8989,6.511,672907966,122504052,24665253,36.6547
combo,1024,1024,3,128,128,128,1,20,2.6466,7.132,608159764,115355332,21971356,36.1276
combo,1024,1024,3,256,256,128,1,20,2.6521,7.117,576368504,111963219,19296552,33.4795
