kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
naive,512,512,3,0,0,0,0,20,0.8778,5.375,,,,
reorder,512,512,3,0,0,0,0,20,0.7288,6.474,,,,
unroll,512,512,3,0,0,0,0,20,0.5490,8.594,,,,
simd,512,512,3,0,0,0,0,20,0.3701,12.750,,,,
simd128,512,512,3,0,0,0,0,20,0.4499,10.489,,,,
simd256,512,512,3,0,0,0,0,20,0.3938,11.981,,,,
optimized,512,512,3,0,0,0,0,20,0.1769,26.670,,,,
combo,512,512,3,16,16,0,1,20,0.9525,4.954,,,,
combo,512,512,3,32,32,0,1,20,1.2837,3.676,,,,
combo,512,512,3,64,64,0,1,20,1.1989,3.936,,,,
combo,512,512,3,128,128,0,1,20,0.9179,5.141,,,,
combo,512,512,3,256,256,0,1,20,0.7938,5.945,,,,
combo,512,512,3,512,512,0,1,20,0.7415,6.364,,,,
combo,512,512,3,0,0,0,1,20,0.8132,5.802,,,,
combo,512,512,3,16,16,0,2,20,0.9367,5.037,,,,
combo,512,512,3,32,32,0,2,20,1.1405,4.137,,,,
combo,512,512,3,64,64,0,2,20,1.0292,4.585,,,,
combo,512,512,3,128,128,0,2,20,0.9288,5.080,,,,
combo,512,512,3,256,256,0,2,20,0.7876,5.991,,,,
combo,512,512,3,512,512,0,2,20,0.8561,5.512,,,,
combo,512,512,3,0,0,0,2,20,0.8386,5.627,,,,
combo,512,512,3,16,16,128,1,20,0.5813,8.117,,,,
combo,512,512,3,32,32,128,1,20,0.4580,10.303,,,,
combo,512,512,3,64,64,128,1,20,0.4686,10.071,,,,
combo,512,512,3,128,128,128,1,20,0.4494,10.501,,,,
combo,512,512,3,256,256,128,1,20,0.4114,11.469,,,,
combo,512,512,3,512,512,128,1,20,0.3600,13.106,,,,
combo,512,512,3,0,0,128,1,20,0.4730,9.975,,,,
combo,512,512,3,16,16,128,2,20,0.4977,9.481,,,,
combo,512,512,3,32,32,128,2,20,0.3379,13.964,,,,
combo,512,512,3,64,64,128,2,20,0.2914,16.196,,,,
combo,512,512,3,128,128,128,2,20,0.3262,14.464,,,,
combo,512,512,3,256,256,128,2,20,0.3091,15.266,,,,
