kernel,M,N,K,dist,hint,enable,tile,reps,ms,gflops,instructions,l1_misses,l2_misses,llc_misses,sw_prefetch_access
naive,128,128,128,0,0,0,0,5,1.8742,2.238,94282259,925318,54125,4606,60
simd,128,128,128,0,0,0,0,5,0.4754,8.823,32784034,241644,52160,4501,20
optimized,128,128,128,512,3,0,256,5,0.1997,21.002,9691867,241825,54124,5869,22
optimized,128,128,128,512,3,1,256,5,0.1927,21.766,11463207,34189,53174,4694,459238
naive,256,256,256,0,0,0,0,5,13.6537,2.458,720874008,7226848,109326,10420,412
simd,256,256,256,0,0,0,0,5,3.9732,8.445,218675880,1797108,86024,6873,104
optimized,256,256,256,512,3,0,256,5,1.5464,21.699,42677397,1821359,79386,5735,56
optimized,256,256,256,512,3,1,256,5,1.5059,22.283,56801978,251021,78982,6418,3673654
naive,512,512,512,0,0,0,0,5,116.0335,2.313,5696619774,57405132,9508417,318365,3338
simd,512,512,512,0,0,0,0,5,22.2137,12.084,1636360230,13648663,3113290,104652,648
optimized,512,512,512,512,3,0,256,5,9.5574,28.087,263873389,14658348,772496,85573,293
optimized,512,512,512,512,3,1,256,5,10.4691,25.641,377829163,3680943,1473914,22249,29665205
naive,1024,1024,1024,0,0,0,0,5,924.9054,2.322,45354507083,446665750,477930235,4832955,26274
simd,1024,1024,1024,0,0,0,0,5,169.5811,12.663,12706440354,117080455,120813859,841444,5092
optimized,1024,1024,1024,512,3,0,256,5,74.6,28.787,1870596630,135905500,33772553,430038,2196
optimized,1024,1024,1024,512,3,1,256,5,75.5953,28.408,2781380662,59619483,61066426,234967,236368663
naive,1536,1536,1536,0,0,0,0,5,3353.7208,2.161,152857928330,1327541151,1616534258,189246345,94602
simd,1536,1536,1536,0,0,0,0,5,609.5661,11.89,42471512156,397793210,408916391,11234541,17237
optimized,1536,1536,1536,512,3,0,256,5,249.4783,29.052,6058615665,522313791,296010923,2161235,7142
optimized,1536,1536,1536,512,3,1,256,5,273.802,26.471,9133305440,174439611,261911494,676863,795823582
naive,2048,2048,2048,0,0,0,0,5,8497.9092,2.022,362111955507,2369867620,3832116302,1069878399,240676
simd,2048,2048,2048,0,0,0,0,5,1502.0527,11.438,100193216421,1398557268,960191789,44990761,42186
optimized,2048,2048,2048,512,3,0,256,5,617.2277,27.834,14069558650,1572546538,900319926,5399663,17606
optimized,2048,2048,2048,512,3,1,256,5,567.6165,30.267,21357236656,321040156,764171449,1577713,1883619487
