kernel,M,N,K,dist,hint,enable,tile,reps,ms,gflops,instructions,l1_misses,l2_misses,llc_misses,sw_prefetch_access
naive,128,128,128,0,0,0,0,5,0.8975,4.673,94202874,923763,56239,4730,32
prefetch,128,128,128,512,3,0,256,5,0.2633,15.932,33654801,242226,54701,5150,12
prefetch,128,128,128,512,3,1,256,5,0.3444,12.177,45585941,32093,54167,6039,1390633
naive,256,256,256,0,0,0,0,5,7.8987,4.248,720475677,7212879,105725,8651,224
prefetch,256,256,256,512,3,0,256,5,1.6513,20.32,224811662,1797123,90996,7249,56
prefetch,256,256,256,512,3,1,256,5,1.8202,18.434,320240090,48687,136842,6008,11043748
naive,512,512,512,0,0,0,0,5,67.8165,3.958,5693408593,57409478,11063766,163446,1945
prefetch,512,512,512,512,3,0,256,5,12.8247,20.931,1682616890,14477091,733995,95371,384
prefetch,512,512,512,512,3,1,256,5,14.9841,17.915,2446134442,282740,4500441,10543,88513367
naive,1024,1024,1024,0,0,0,0,5,577.7571,3.717,45331625723,447272148,475672822,5729064,16189
prefetch,1024,1024,1024,512,3,0,256,5,101.2808,21.203,13065929349,120512412,31060879,747129,2897
prefetch,1024,1024,1024,512,3,1,256,5,113.7305,18.882,19173789413,32845724,69951897,234631,705629801
naive,1536,1536,1536,0,0,0,0,5,2142.2839,3.383,152861455126,1306097583,1616847018,206915593,95894
prefetch,1536,1536,1536,512,3,0,256,5,585.7837,12.373,43689172797,422522907,301464549,3618172,16981
prefetch,1536,1536,1536,512,3,1,256,5,624.9034,11.598,64299237286,87966988,311985532,602465,2380454724
naive,2048,2048,2048,0,0,0,0,5,8517.4542,2.017,362107191076,2407942301,3831268331,1033946657,240021
prefetch,2048,2048,2048,512,3,0,256,5,1382.9961,12.422,103055524015,1443003580,912744174,11173104,39783
prefetch,2048,2048,2048,512,3,1,256,5,1519.7452,11.304,151918135436,247399725,917136830,1798161,5642599279
